1236A	    3835
1236B	    3885
1236C	    3776
1418A	    3146
1418B	    3071
1418C	    3379
1418D	    3031
1418E	    3034
1418F	    3041
1418G	    3935
1418H	    3955
1743A	    4033
1743B	    3990
1743C	    4048
1743D	    3908
1743E	    3724
1743F	    3709
1821A	    3330
1821B	    3397
1821C	    3733
1821D	    3089
1821E	    3151
1821F	    3115
1821G	    3530
1821H	    3492
1821I	    3506
2373B	    4241
2373C	    4078
2373D	    3853
2373E	    3998
2373F	    4050
772A	    3792
772B	    3805
772C	    3754
772D	    3468
772E	    3409
772F	    3450
IexuBAH1	    2070
IexuBAH2	    2067
IexuBAH3	    2074
