LIB	HYPO_COUNT
1236A	    2422
1236B	    2423
1236C	    2343
1418A	    1845
1418B	    1782
1418C	    2076
1418D	    1719
1418E	    1710
1418F	    1723
1418G	    2493
1418H	    2502
1743A	    2583
1743B	    2547
1743C	    2586
1743D	    2495
1743E	    2321
1743F	    2280
1821A	    1879
1821B	    1944
1821C	    2211
1821D	    1798
1821E	    1866
1821F	    1821
1821G	    2200
1821H	    2146
1821I	    2159
2373B	    2782
2373C	    2679
2373D	    2478
2373E	    2582
2373F	    2623
772A	    2362
772B	    2378
772C	    2341
772D	    2131
772E	    2102
772F	    2133
IexuBAH1	     921
IexuBAH2	     918
IexuBAH3	     907
